Title,Ingredients,Preparation,Benefits,Category
- cleanses eye ducts and improves vision
- reduces frequency of sinusitis and migraine attacks
- Source: ""How to Treat Sinus/Mucous/Phlegm at Home? Natural Home Remedies | Yoga"" Remedy  Ashwagandha Tea Ingredients: One spoon of ashwagandha powder or a few dried roots
- water
- optional teaspoon of honey and squeeze of lemon
- Preparation: Boil ashwagandha powder or dried roots in water for  to  minutes
- Put the lid and let it simmer on slow gas
- Strain the decoction into a cup
- Add honey and lemon for better taste if desired
- Health Benefits: Helps restore lost melanin and prevent premature graying of hair
- contains tyrosine which helps in melanin formation
- reduces cortisol levels preventing follicle damage and hair loss
- Remedy  Bhringraj and Amla Oil Ingredients: Some amla oil
- bringraj oil
- Preparation: Mix some amla oil with bringraj oil
- Massage it on your scalp before going to bed and rinse it the next morning
- Health Benefits: Preserves hair's natural color and prevents premature graying
- may make hair appear less gray
- provides deep conditioning and brings out natural shine
- stimulates hair growth and improves hair quality
- purifies blood and retains natural hair color
- Remedy  Hibiscus Yogurt Pack Ingredients: Four tablespoons full of yogurt
- ¼ cup hibiscus powder
- Preparation: Mix yogurt and hibiscus powder well to make a paste
- Apply it to dry hair and scalp
- Allow it to stay for  to  minutes and then wash it with lukewarm water
- Health Benefits: Prevents premature graying of hair
- Untitled  Source: ""How to Reverse Greying of Hair Naturally?  Best Home Remedies For Premature Greying Hairs"" The source emphasizes lifestyle management rather than specific homemade remedies but mentions drinking warm water and fresh juices
- buttermilk
- and warm soups as helpful for maintaining a well-moisturized digestive system and preventing constipation
- It also highlights the importance of a diet rich in fiber
- fresh leafy vegetables
- and fruits
- Source: ""How to Cure Constipation Naturally ?  Simple Ways to Get Rid of Constipation"" Remedy: Shankha Prakshalana Intestinal Cleansing) Ingredients:  liters (approximately  glasses) of boiled and cooled water
- salt (to taste like tears)
- ghee
- yellow moong lentil (moong dal)
- rice
- turmeric
- Preparation: Boil water and add salt
- cool to body temperature
- Drink  glasses of this water in the morning
- Perform a sequence of six asanas Tadasana
- Tiryak Tadasana
- Kati Chakrasana
- Tiryak Bhujangasana
- Udarakarshan) six times each in a dynamic motion
- Evacuate bowels when the urge arises
- Repeat drinking water and asanas until clear water is evacuated
- Rest in Shavasana (do not sleep)
- First meal after kriya should be khichdi (yellow moong dal and rice with ghee and turmeric)
- Second meal also khichdi after six hours
- For the next two days
- stick to boiled vegetables without spices
- onion
- or garlic
- avoid oil
- fruits
- buttermilk
- lemon water
- and diluted milk
- Rest and avoid heavy activity for two days
- Health Benefits: Detoxifies the digestive system from mouth to anus
- removes old food particles and impurities
- promoting better overall health
- Source: ""How to Cleanse Intestine Naturally at Home with these Asanas | Detox Digestive System| Home Remedies"" Remedy: Turmeric Milk Golden Milk/Haldi Doodh) Ingredients:  cup whole milk (can use almond
- coconut
- rice
- or soy milk)
- ½ teaspoon turmeric powder
- ¼ teaspoon freshly crushed pepper
- ¼ teaspoon ghee or coconut oil
- optional palm sugar or honey for sweetener
- Untitled  Preparation: Add milk to a saucepan and bring to a boil
- Add turmeric powder
- crushed pepper
- and ghee or coconut oil
- Bring to a boil
- and simmer for a minute
- Switch off the flame
- Pour the milk from a height to another pan and back a few times to make it frothy
- Pour into a glass or mug and consume warm
- If adding honey
- make sure milk is warm
- not hot
- Health Benefits: Helps to sleep better at night
- may help break down abdominal fat cells and aid in weight loss
- strengthens bones
- great for cold and cough
- good for sore throat
- boosts immunity
- helps with bloating and gases
- gives a glowing complexion
- Pepper helps curcumin absorption
- and ghee/coconut oil lubricates joints and soothes sore throat
- Source: ""How To Make Turmeric Milk  Golden Milk Recipe  Haldi Doodh For Quick Weight Loss & To Sleep Better"" Remedy  Head Massage with Brahmi or Jamasi Oil Shiro Abhyanga) Ingredients: Some natural brahmi oil or jamasi oil
- Preparation: Take some oil on your fingertip and move them in circular motion along your scalp
- Health Benefits: Relaxing practice that helps fall into deep sleep quickly
- Remedy  Foot Massage with Sesame Oil Pada Abhyanga) Ingredients: Some sesame oil (gently warmed)
- Preparation: Apply warm sesame oil on the soles of your feet and rub in a circular motion moving upwards from heel to toes
- Wash away after  minutes or cover feet with socks and go to sleep
- Health Benefits: Works on nerve centers of the feet
- helps release stress and relax
- promoting better sleep
- Remedy  Shankhpushpi Tea Ingredients: Shankhpushpi flowers or ¼ teaspoon of Shankhpushpi flour powder
- a cup of water
- a few drops of lemon juice (optional)
- Preparation: Gently boil Shankhpushpi flowers in a cup of water until the water turns blue-violet
- Strain and pour into a cup
- Add a few drops of lemon juice (optional) and sip warm
- If using powder
- add powder to a Untitled  glass of hot water
- cover for half an hour
- strain
- add lemon juice
- and drink warm at night
- Health Benefits: Has antioxidants and flavonoids which helps in bringing calmness and reducing stress
- promoting better sleep
- Remedy  Ashwagandha and Warm Cow Milk Ingredients: A spoonful of ashwagandha churna
- a cup of warm cow milk
- Preparation: Mix ashwagandha churna in warm cow milk and drink before going to sleep
- Health Benefits: Promotes undisturbed and wonderful sleep
- Remedy  Raisins and Water Ingredients:  to  raisins
- water
- Preparation: Soak raisins in water around  to  p
- In the evening
- Consume these raisins along with the water right before going to sleep
- Health Benefits: Helps to fall into a calm
- undisturbed sleep at night
- Source: ""How To Get Good Sleep | Get Deep & Relaxing Sleep Naturally | Ayurvedic Tips  Say No To Pills"" Remedy  Tomato Juice and Lemon Juice Ingredients: One teaspoonful of tomato juice
- one teaspoonful of lemon juice
- Preparation: Mix equal quantities of tomato juice and lemon juice
- Apply with a soft cotton place around your eyes
- leave for  minutes
- and rinse with cool water
- Health Benefits: Tomato has strong bleaching properties
- and lemon is rich in Vitamin C
- both help lighten dark circles
- Remedy  Cold Milk Ingredients: Cold milk
- Preparation: Dip cotton pads in cold milk and place them over your eyes for  minutes
- Remove and rinse with water
- Untitled  Health Benefits: Has a soothing effect
- rich in Vitamin A
- helps brighten skin and make it soft
- reducing dark circles
- Remedy  Almond Oil Massage Ingredients: Almond oil
- Preparation: Gently massage almond oil around your eyes before going to bed
- Leave it overnight and wash off in the morning
- Health Benefits: Rich in Vitamin E
- moisturizes and helps reduce dark circles
- Remedy  Potato Slices or Juice Ingredients: Potato
- Preparation: Place potato slices around your eyes for  minutes
- Alternatively
- apply potato juice around the eyes
- Wash with cool water
- Health Benefits: Natural bleaching agent
- helps lighten dark circles
- Remedy  Cucumber Slices or Juice Ingredients: Cucumber
- Preparation: Place cucumber slices around your eyes for  minutes
- Alternatively
- apply cucumber juice around the eyes
- Wash with cool water
- Health Benefits: Cooling and relaxing
- helps remove darkness and puffiness
- Source: ""Home remedies for removing dark circles"" Remedy  Warm Oil Application Bhringraj
- Neem
- Fenugreek) Ingredients: Bhringraj oil
- neem oil
- or fenugreek oil
- Preparation: Apply warm oil to the scalp and wash it with shampoo after leaving for a couple of hours
- Health Benefits: These oils are traditionally used to cure dandruff
- Remedy  Amla Powder and Tulsi Leaves Hair Mask Ingredients:  tbsp full of amla powder
- spoons of ground tulsi leaves
- water
- Untitled  Preparation: Mix amla powder and ground tulsi leaves with water to make a hair mask
- Apply it to the scalp and keep it for half an hour
- Wash it out with a mild shampoo
- Health Benefits: Amla Vitamin C and antibacterial) helps remove dandruff
- Tulsi has medicinal properties that benefit the scalp
- Remedy  Aloe Vera Gel and Castor Oil Hair Treatment Ingredients: About one cup of aloe vera gel
- tbsp full of castor oil
- Preparation: Apply this to your scalp and leave it overnight or  hours before your hair wash
- Repeat once a week
- Health Benefits: Soothing effect of aloe vera relieves itchiness of the scalp
- Castor oil may have moisturizing and hair growth-promoting properties
- Remedy  Coconut Oil with Lemon Juice Hair Treatment Ingredients:  tablespoon full of coconut oil (warmed up)
- tablespoon full of lemon juice
- Preparation: Warm coconut oil and add lemon juice
- Apply this oil to your scalp properly
- Can apply in the evening and leave overnight
- or apply two hours before hair wash
- Follow regularly once a week
- Health Benefits: Coconut oil's hydrating property reduces dryness and combats itchy scalp
- Lemon juice Vitamin C
- citric acid
- zinc) fights dandruff due to its antifungal and antioxidant properties
- Remedy  Methi Fenugreek) Seed and Curd Hair Mask with Triphala Churna Ingredients: Methi (fenugreek) seeds (soaked overnight and ground into a paste)
- curd
- one teaspoon full of triphala churna
- Preparation: Soak methi seeds overnight and grind them into a paste
- Add this paste with curd and triphala churna
- Apply this mask to your scalp and leave it for one hour
- Later
- wash it with a mild shampoo
- Health Benefits: Methi removes white flakes
- Triphala and curd have beneficial properties for the scalp
- Untitled  Remedy  Neem Leaves and Curd Hair Mask Ingredients: Water boiled with neem leaves
- curd
- additional neem leaves (optional)
- Preparation: Wash hair with water boiled with neem leaves
- Add neem leaves with curd and apply that on the scalp
- Allow it to remain for  minutes
- then wash hair with warm water
- Health Benefits: Neem (antifungal
- antibacterial
- antiseptic) detoxifies the scalp and reduces itching and irritation
- Curd may provide moisturizing benefits
- Source: ""Home Treatments for Dandruff | How to Treat Dandruff at Home | Hair Care Tips | Home Remedies"" Remedy  Neem Powder Paste Ingredients: Two to three spoons of neem powder
- water
- Preparation: Mix neem powder with water to make a paste
- Apply the paste to your scalp and hair
- ensuring all affected areas are covered
- Leave it on for  minutes before rinsing it off with cool water
- Repeat once a week
- Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching
- Remedy  Neem Oil and Coconut Oil Massage Ingredients: One to two teaspoons of neem oil
- two to three teaspoons of coconut oil
- Preparation: Mix neem oil with coconut oil
- Apply the mixture to your scalp and massage
- Leave it on for  minutes before rinsing it off with a mild shampoo and cool water
- Repeat once a week
- Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching
- Coconut oil provides a carrier and may offer additional moisturizing benefits
- Remedy  Neem Leaf Hair Rinse Ingredients: A handful of fresh neem leaves
- two cups of water
- Untitled  Preparation: Wash neem leaves thoroughly
- Boil the leaves in two cups of water for  minutes until green
- Strain the liquid and allow it to cool
- Use it as a hair rinse
- leave it on for  to  minutes before rinsing off with cold water
- Repeat two to three times a week
- Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching
- Source: ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr
- Hansaji Yogendra"" Remedy  Chickpea Flour and Sandalwood Powder Cleanser General Skin Care) Ingredients: Half teaspoon chickpea (besan) flour
- teaspoon sandalwood powder
- Preparation: Mix chickpea flour and sandalwood powder with a little water just before washing your face daily
- Health Benefits: Gentle cleanser for the skin
- Remedy  Neem Powder and Honey Face Mask (for Kapha Dosha/Oily Skin) Ingredients: Half teaspoon neem powder
- one teaspoon honey
- Preparation: Mix neem powder with honey
- leave it on for  minutes before rinsing off
- Health Benefits: Neem and honey have cleansing and moisturizing properties
- Remedy  Aloe Vera Gel and Turmeric Paste (for Pitta Dosha/Sensitive Skin) Ingredients:  tablespoon of aloe vera gel
- a pinch of turmeric
- Preparation: Mix aloe vera gel with turmeric to form a cooling paste
- Apply to any red or inflamed areas
- keep on for  minutes
- and rinse off
- Health Benefits: Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties
- Remedy  Honey and Rose Water Face Mask (for Vata Dosha/Dry Skin) Untitled  Ingredients: Half tablespoon honey
- tablespoon of rose water
- Preparation: Mix honey and rose water
- Apply gently on the face
- massage
- and leave it for  minutes before washing out
- Health Benefits: Honey is moisturizing
- and rose water has toning properties
- ideal for dry or mature skin
- Source: ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin"" Remedy  Curd and Rice Ingredients: Cooked rice
- fresh curd
- optional seasoning (jeera
- asafoetida)
- Preparation: Mix cooked rice with fresh curd
- add optional seasoning
- Eat after five to six hours (allows for slight fermentation)
- Consume cool
- Health Benefits: Lactobacillus enzymes developed during fermentation help in improving digestion
- Curd is an excellent probiotic for a healthy gut
- Remedy  Baking Soda Drink Ingredients: A teaspoon full of baking soda
- a glass of cold water
- Preparation: Dissolve baking soda in cold water and drink it slowly
- Health Benefits: Helps in reducing the acidic feeling in the stomach
- provides temporary but quick relief from indigestion
- Remedy  Ginger
- Lemon Juice
- and Honey Mixture Ingredients: A spoonful of ginger juice
- a spoonful of lemon juice
- spoons of honey
- warm water
- Preparation: Mix ginger juice
- lemon juice
- and honey together
- and take it with warm water
- Health Benefits: Very good treatment for indigestion
- flatulence
- and acidity
- Remedy  Asafoetida Hing) Drink Ingredients:  grams of asafoetida (hing)
- a glass of hot water
- a little sugar
- Untitled  Preparation: Dissolve asafoetida and sugar in hot water and drink
- Health Benefits: Provides quick relief from indigestion and flatulence
- Source: ""Easy ways to prevent indigestion | Dr
- Hansaji Yogendra"" Remedy  Aloe Vera and Glycerin Sunscreen Spray Ingredients: Aloe vera juice
- a few drops of glycerin
- rose water
- Preparation: Combine all ingredients in a spray bottle and spray on any exposed part of the body
- Health Benefits: Aloe vera is a natural and effective sunblock
- Glycerin acts as a barrier against sun-damaging rays and environmental pollutants
- and helps in locking moisture
- Remedy  Aloe Vera and Zinc Lotion Sunscreen Ingredients: One teaspoon aloe vera gel
- half teaspoon jojoba oil
- ml of water
- to  teaspoon of zinc oxide (for SPF 
- optional  capsule of Vitamin E (avoid for oily/acne-prone skin)
- Preparation: Mix aloe vera gel
- jojoba oil
- and water to make a lotion
- Add zinc oxide and optionally Vitamin E
- Apply on exposed skin before going out
- Health Benefits: Aloe vera protects by blocking up to % of UV rays
- Zinc oxide works by scattering sun rays
- preventing harmful UV radiation
- Remedy  Milk and Lemon Juice Sunscreen Ingredients: Two tablespoons of raw milk
- one teaspoon of lemon juice
- Preparation: Mix raw milk and lemon juice well
- Dab with a cotton ball and apply all over the exposed area
- Health Benefits: Raw milk helps in reversing suntan and protects from sun damage
- aids in collagen production for natural glow
- soothes sunburn
- Lemon juice (high in Vitamin C helps in reducing spots and pigmentation
- Source: ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins"" Remedy  Multani Mitti Fuller's Earth) Pack Untitled  Ingredients: Multani mitti
- a little haldi (turmeric)
- a little sandalwood powder
- a little lemon
- a little milk
- Preparation: Mix all ingredients to make a paste
- Apply on the face
- let it dry completely
- then wash face with cold water
- Health Benefits: Cleansing and rejuvenating for the skin
- Remedy  Yogurt and Black Pepper Pack Ingredients: Yogurt
- black pepper
- Preparation: Apply yogurt and black pepper on the face
- keep for some time
- then massage and wash it out after  minutes
- Health Benefits: Black pepper helps increase oxygen to the skin
- removes inflammation and infections
- Remedy  Aloe Vera Gel with Turmeric or Green Tea Ingredients: Aloe vera gel
- turmeric or green tea
- Preparation: Take a little aloe vera gel
- add turmeric
- or add green tea
- Apply on the face
- stay for some time
- and then wash it out
- Health Benefits: Helps reduce inflammation and remove bacteria from the skin
- allowing skin to heal naturally
- helps remove excess oil and gives good health to the skin
- Remedy  Honey Ingredients: Honey
- Preparation: Apply a few drops of honey on pimples
- rub gently
- keep for  minutes
- and then rinse with warm water
- Health Benefits: Good moisturizer
- keeps skin moist and soft
- Source: ""DIY Remedies for acne | Natural Beauty | Dr
- Hansaji Yogendra"" Remedy  Coconut Oil as Natural Sunscreen Ingredients: Coconut oil
- Preparation: Use coconut oil as a natural sunscreen when stepping out
- Health Benefits: Protects skin from UV damage
- Untitled  Remedy  Ayurvedic Manjistha and Chandan Sandalwood) Pack Ingredients: Cus or Khus root
- powdered Manjistha
- Preparation: Soak Cus or Khus root overnight in water
- Next morning
- mix this water with powdered Manjistha to create a smooth paste
- Apply it to cleansed skin
- leave for  minutes
- and then rinse off with warm water
- Use weekly
- Health Benefits: Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin
- Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation
- Cleanses
- nourishes
- and rejuvenates the skin
- Remedy  Alum and Rose Water Toner Ingredients: A small amount of alum powder
- rose water
- Preparation: Dissolve alum powder in rose water
- Dab it on cleansed skin using a cotton pad daily
- Health Benefits: Alum (astringent and antibacterial) helps tighten pores
- preventing clogging and formation of pimples
- and reduces excess oil production
- Rose water (soothing and hydrating) reduces inflammation and skin flare-ups
- Remedy  Avocado Spirulina Smoothie Ingredients: One ripe avocado
- one teaspoon of spirulina powder
- Preparation: Blend the avocado and spirulina powder to make a smoothie
- Consume regularly
- Health Benefits: Avocado (rich in Vitamin C and E helps in skin repair and hydration
- Spirulina is nutrient-dense
- has anti-inflammatory properties
- helps build collagen
- and promotes detoxification
- Together
- they fight acne from within
- Source: ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies"" Remedy  Water
- Lemon Juice
- Honey
- Pepper
- Turmeric Ingredients: Water
- lemon juice
- honey
- a pinch of pepper
- a little turmeric
- Untitled  Preparation: Mix all ingredients in a glass of water and drink before going to bed
- Health Benefits: Aids in bowel movements
- Remedy  Water and Lemon Juice Ingredients: Water
- lemon juice
- Preparation: Drink water with lemon juice
- Health Benefits: Works wonders for constipation
- Remedy  Warm Water Ingredients: Warm water
- Preparation: Drink warm water first thing in the morning
- Health Benefits: Helps in easy bowel movements
- Source: ""Best Tips on How to Overcome Constipation | Dr
- Hansaji Yogendra"" Remedy  Rice Flour and Rose Water Scrub Ingredients: Rice flour
- rose water
- Preparation: Mix rice flour with rose water to make a scrub
- Apply in a circular motion on the skin
- keep for  minutes
- and then wash it off
- Health Benefits: Exfoliates dead skin
- makes skin radiant and healthy- looking
- Remedy  Sugar and Coconut Oil Scrub Ingredients: Sugar crystals
- coconut oil
- Preparation: Mix sugar crystals and coconut oil well
- Apply in a circular motion on the skin
- keep for  minutes
- and then wash it off
- Health Benefits: Exfoliates dead skin
- makes hands smooth
- nourishes skin
- and makes it glow
- Remedy  Banana
- Aloe
- and Olive Oil Hand Mask Ingredients: One ripe banana (mashed)
- one tablespoon full of aloe vera gel
- one tablespoon olive oil (can substitute with coconut oil
- jojoba
- almond oils)
- Untitled  Preparation: Mix all ingredients to form a paste
- Apply a generous amount all over your hands
- especially on the palm and back of the palm
- Leave it for  minutes and wash it out with warm water
- Health Benefits: Moisturizes instantly
- aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow
- banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging
- olive oil boosts collagen production
- Source: ""Best Natural Home Remedies for Wrinkles | Anti-Aging | Get Soft and Smooth Hands"" Remedy  Black Sesame Seeds and Jaggery Ingredients: Black sesame seeds (kala til)
- jaggery
- Preparation: Roast black sesame seeds slightly
- Consume them as is
- twist with cereal
- or make sweets with jaggery
- Health Benefits: Black sesame seeds are rich in iron
- copper
- zinc
- Vitamin B
- and folic acid
- which boost hemoglobin content and help in maintaining iron levels
- Remedy  Beetroot
- Spinach
- and Lemon Juice Ingredients: Beetroot
- spinach
- lemon juice
- Preparation: Extract the juice of beetroot and spinach
- Add lemon juice to it
- Drink one glass daily
- Health Benefits: Rich in iron
- calcium
- copper
- and vitamins B
- folate)
- which are essential for developing and improving red blood cells
- Source: ""Best Home Remedies for Anemia by Dr
- Hansaji Yogendra"" Remedy  Brahmi Fresh Leaves
- Capsules
- Tablets
- or Powder) Ingredients: Fresh brahmi leaves or brahmi capsules
- tablets
- or powder
- Preparation: Consume one fresh brahmi leaf every day
- Alternatively
- take a ¼ teaspoon of brahmi powder daily along with meals or boil brahmi powder with water and consume as a tea
- Health Benefits: Good for the nervous system
- brings down anxiety and promotes calmness
- which can help prevent migraine
- Untitled  Remedy  Ashwagandha Powder or Tablet) Ingredients: Ashwagandha powder or tablet
- Preparation: Take a teaspoon full of ashwagandha powder or a tablet before going to sleep at night with milk or water
- Health Benefits: Helps the body adjust to stress
- reduces the frequency and intensity of migraine
- is anti-inflammatory and can calm migraine- related inflammation
- Source: ""Ayurvedic solutions to get relief from migraine pain | headaches remedies | Dr
- Hansaji"" Remedy  Mint Pudina) Tea Ingredients: A few fresh or dried mint leaves
- one cup boiling water
- optional slice of lemon
- Preparation: Drop mint leaves in boiling water to prepare tea
- Add a slice of lemon for a refreshing twist (be mindful if sensitive to citrus)
- Consume warm or at room temperature
- Health Benefits: Relieves indigestion and calms the stomach
- contains menthol with muscle relaxant properties that can help ease digestive discomfort
- aids in the movement of food through the digestive tract
- reducing chances of acid reflux
- Remedy  Licorice Muletti/Yastimadhu) Infusion Ingredients: One teaspoon licorice powder
- one cup boiling water
- Preparation: Add licorice powder to boiling water to make an infusion
- and sip it once or twice a day after meals
- Health Benefits: Contains glycyrrhizin
- which possesses anti-inflammatory effects on the digestive tract
- helps increase the production of mucin
- a protective substance that lines the stomach and prevents damage from excess acid
- Caution: Can interact with certain medications and medical conditions (high blood pressure
- heart issues
- pregnancy)
- Remedy  Atiar Churna Untitled  Ingredients: Herbal powder blend containing herbs like amla
- haritaki
- and fennel (sof)
- Preparation: Have half to  teaspoon of atiar churna about  minutes before your meal
- Mix the churna with a small amount of honey or warm water to make a paste
- Drink a glass of water after having churna
- Health Benefits: Balances Pitta dosha and eases acidity
- soothes the digestive tract
- reduces acid production
- amla and haritaki are rich in antioxidants and have anti-inflammatory properties
- protecting the stomach lining
- fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas
- Source: ""Ayurvedic Home Remedies for Acidity Relief | Natural Solutions for Acid Reflux | Dr
- Hansaji"" Remedy  Oil Pulling with Coconut Oil Ingredients: One tablespoon of coconut oil
- Preparation: Swish one tablespoon of coconut oil in your mouth for  to  minutes
- then spit it out and rinse your mouth with warm water
- Best done early in the morning
- Health Benefits: Removes bacteria and harmful toxins
- lauric acid in coconut oil is antimicrobial
- helps in overall oral hygiene
- Remedy  Coconut Oil as Pre-Wash Hair Treatment Ingredients: Coconut oil
- Preparation: Massage coconut oil into your scalp and hair
- leave it on for at least  minutes before washing your hair
- Health Benefits: Reduces protein loss
- provides essential nutrients
- gives smoother
- shinier
- and stronger hair
- Remedy  Coconut Oil for Skin Moisturizing Ingredients: Coconut oil
- Preparation: Apply coconut oil on your body after a shower
- especially on dry areas
- Wrap an old towel around your body and wait for five minutes before wearing clothes
- Untitled  Health Benefits: Gentle moisturizing quality
- enters the skin and locks in moisture
- has anti-inflammatory properties
- makes skin healthier and more radiant
- Remedy  Coconut Oil with Aloe Vera Juice for Wound Healing Ingredients: Half a tablespoon of coconut oil
- half a tablespoon of aloe vera juice
- Preparation: Apply a thin layer of the mixture on minor cuts
- cracks
- or burns two or three times a day
- Health Benefits: Promotes wound healing due to coconut oil's antimicrobial (lauric acid)
- antibacterial
- antiviral
- and antifungal qualities
- providing a clean and protective environment
- Remedy  Coconut Oil with Warm Water for Constipation and Heart Problems Ingredients: One tablespoon of coconut oil
- warm water
- Preparation: Mix coconut oil with warm water and drink before meals
- Health Benefits: Prevents constipation and heart problems
- Source: "" Miraculous Benefits Of Coconut Oil | Uses Of Coconut Oil | Health Benefits | Dr
- Hansaji"" Remedy  Aloe Vera Gel for Hair Growth
- Hair Loss
- and Dandruff Ingredients: Fresh aloe vera gel
- Preparation: Once a week
- apply fresh aloe vera gel on your scalp and hair
- leave it on for  minutes
- and rinse off with plain water or mild shampoo
- Health Benefits: Promotes healthy hair growth
- strengthens hair
- stops hair loss
- protects from sunlight
- and prevents and cures dandruff
- Remedy  Aloe Vera Gel for Minor Burns or Injuries Ingredients: Aloe vera gel
- Preparation: Apply aloe vera gel on any minor burn or injury
- Health Benefits: Promotes quick healing
- Untitled  Remedy  Aloe Vera Gel with Sesame Oil for Diaper Rashes Ingredients: Aloe vera gel
- equal quantity of sesame oil
- Preparation: Mix aloe vera gel with sesame oil and apply on the affected area
- Health Benefits: Helps with diaper rashes
- Remedy  Yellow Substance from Aloe Vera Leaf with Turmeric Powder for Boils or Pimples with Pus Ingredients: Yellow colored substance from aloe vera leaf
- turmeric powder
- Preparation: Mix turmeric powder with the yellow substance and apply it three times a day
- Health Benefits: Helps with boils or pimples filled with pus
- Remedy  Yellow Substance from Aloe Vera Leaf for Pimples
- Dark Spots
- and Blackheads Ingredients: Yellow colored substance that oozes out from a cut mature aloe vera leaf
- Preparation: Make a cut on a mature aloe vera leaf
- collect the yellow substance after  minutes
- and apply it on the skin
- Health Benefits: Gets rid of pimples
- dark spots
- and blackheads
- Remedy  Aloe Vera Gel for Skin Moisturizing and Cleansing Ingredients: Aloe vera gel
- Preparation: Apply on your skin every day as a moisturizer and cleanser
- Remedy  Cooked Aloe Vera Gel with Tripla Powder
- Onion
- and Water for Weight Loss Ingredients: Half teaspoon of aloe vera gel (cooked for a minute or two in cooking oil or with a little water)
- teaspoon tripla powder
- teaspoon onion
- cup of water
- Preparation: Heat aloe vera gel
- Add tripla powder and onion to  cup of water
- Drink after dinner or before bedtime
- Untitled  Health Benefits: Used for weight loss
- Remedy  Aloe Vera Juice with Water for Blood Sugar Regulation Ingredients: About  mL of aloe vera juice and  mL water
- Preparation: Mix aloe vera juice and water and consume with medical approval
- Health Benefits: Used in the management of diabetes to regulate blood sugar level
- Remedy  Aloe Vera Gel with Rock Salt for Constipation Ingredients: Aloe vera gel
- a pinch of rock salt
- Preparation: Take two to three spoonfuls of aloe vera gel
- add a pinch of rock salt
- and eat after allowing the moisture to evaporate by heating the mixture once a day
- Health Benefits: Relieves constipation
- Remedy  Aloe Vera Gel for Red and Burning Eyes Ingredients: Aloe vera gel
- Preparation: Put some aloe vera gel into a cloth and place it gently over your eyelids
- Leave it overnight
- Remedy  Aloe Vera Gel for Dry Mouth Ingredients: Aloe vera gel
- Preparation: Apply aloe vera gel inside your mouth with your finger four times a day
- Health Benefits: Stimulates the taste buds and helps with dry mouth
- Remedy  Aloe Vera Gel as Mouthwash Ingredients: Aloe vera gel
- Preparation: Use aloe vera gel as a mouthwash
- Health Benefits: Gives relief from bleeding or swollen gums because it contains Vitamin C
- Remedy  Aloe Vera Gel for Dental Plaque Untitled  Ingredients: Aloe vera gel
- Preparation: Rub the gel on your teeth
- Health Benefits: Gets rid of dental plaque
- Source: "" Amazing Benefits of Aloe Vera for Skin
- Hair and Health | Natural Healing Method"" Remedy  Oil Pulling Coconut Oil) Ingredients: One tablespoon of any edible oil (coconut oil is most common)
- Preparation: Take one tablespoon of coconut oil in the mouth
- Swish the oil around the mouth for five to ten minutes
- Spit the oil out in a trash can
- Health Benefits: Helps in removal of plaque formation
- maintains overall dental hygiene
- has anti-inflammatory and anti-microbial properties
- Usage: Every day
- at least three times a week
- for a month
- and then every six months
- Remedy  Baking Soda Paste Ingredients: Equal amount of baking soda and water
- Preparation: Mix baking soda and water to prepare a paste
- Dip your toothbrush in the mixture and brush in circles
- covering each tooth well
- for about one minute
- Rinse off with fresh water
- Health Benefits: Removes plaque
- protects teeth from demineralization (calcium removal from enamel)
- has antimicrobial properties and prevents tooth decay
- Usage: Every alternate day
- or once a day if brushing twice
- instead of toothpaste
- Source: "" Natural Way to Remove Dental Plaque Without Going to Dentist | Best Home Remedies for Oral Hygiene"" Here is a compilation of ayurvedic and homemade remedies
- their preparation
- health benefits
- and ingredients
- as described in the sources: Untitled  Sip warm liquids frequently throughout the dayHealth Benefits: Soothes the throat and helps in flushing out infection Frequently Asked Questions about Holistic Health and Well-being  How can I naturally remove dental plaque at home? There are two effective home remedies for removing dental plaque
- First
- create a paste by mixing equal parts of baking soda and water
- Dip your toothbrush into this paste and brush your teeth thoroughly in circular motions for about one minute
- then rinse with fresh water
- This can be done every alternate day or once a day if you brush twice daily
- Baking soda helps prevent demineralization and has antimicrobial properties
- Second
- practice oil pulling using any edible oil
- such as coconut oil
- Take one tablespoon of oil
- swish it around in your mouth for  to  minutes (it will increase in volume as it mixes with saliva)
- and then spit it out into a trash can
- Coconut oil has anti-inflammatory and antimicrobial properties that aid in plaque removal and maintain oral hygiene
- Oil pulling can be done daily
- or at least three times a week
- and consistently over time for best results
- What are the various health benefits of aloe vera
- and how can it be used? Aloe vera
- known as ""Kumari"" in Sanskrit
- has numerous therapeutic and cosmetic uses
- For health
