title,description,ingredients,preparation,health_benefits,category,image_url,rating
 Neem Powder and Honey Face Mask (for Kapha,,"Half teaspoon neem powder, one teaspoon honey23.◦Preparation: Mix neem powder with honey, leave it on for 15 minutes before rinsing off23.◦Health Benefits: Neem and honey have cleansing and moisturizing properties23.","Mix neem powder with honey, leave it on for 15 minutes before rinsing off23.◦Health Benefits: Neem and honey have cleansing and moisturizing properties23.",Neem and honey have cleansing and moisturizing properties23.,General,,
 Chickpea Flour and Sandalwood Powder,,"Half teaspoon chickpea (besan) flour, 1 teaspoon sandalwood powder23.◦Preparation: Mix chickpea flour and sandalwood powder with a little water just before washing your face daily23.◦Health Benefits: Gentle cleanser for the skin23.Source24 ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr. Hansaji Yogendra""","Mix chickpea flour and sandalwood powder with a little water just before washing your face daily23.◦Health Benefits: Gentle cleanser for the skin23.Source24 ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr. Hansaji Yogendra""","Gentle cleanser for the skin23.Source24 ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr. Hansaji Yogendra""",General,,
 Neem Leaf Hair Rinse◦Ingredients: A handful of fresh,,,"Wash neem leaves thoroughly24. Boil the leaves in two cups of water for 10 minutes until green24. Strain the liquid and allow it to cool24. Use it as a hair rinse, leave it on for 10 to 15 minutes before rinsing off with cold water24. Repeat two to three times a week24.◦Health Benefits: Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24....","Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24....",General,,
 Neem Oil and Coconut,,"One to two teaspoons of neem oil, two to three teaspoons of coconut oil24.◦Preparation: Mix neem oil with coconut oil24. Apply the mixture to your scalp and massage24. Leave it on for 30 minutes before rinsing it off with a mild shampoo and cool water24. Repeat once a week24.◦Health Benefits: Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24.... Coconut oil provides a carrier and may offer additional moisturizing benefits24....","Mix neem oil with coconut oil24. Apply the mixture to your scalp and massage24. Leave it on for 30 minutes before rinsing it off with a mild shampoo and cool water24. Repeat once a week24.◦Health Benefits: Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24.... Coconut oil provides a carrier and may offer additional moisturizing benefits24....","Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24.... Coconut oil provides a carrier and may offer additional moisturizing benefits24....",General,,
 Neem Powder,,"Two to three spoons of neem powder, water24.◦Preparation: Mix neem powder with water to make a paste24. Apply the paste to your scalp and hair, ensuring all affected areas are covered24. Leave it on for 30 minutes before rinsing it off with cool water24. Repeat once a week24.◦Health Benefits: Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24....Source25 ""Home Treatments for Dandruff | How to Treat Dandruff at Home | Hair Care Tips | Home Remedies""","Mix neem powder with water to make a paste24. Apply the paste to your scalp and hair, ensuring all affected areas are covered24. Leave it on for 30 minutes before rinsing it off with cool water24. Repeat once a week24.◦Health Benefits: Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24....Source25 ""Home Treatments for Dandruff | How to Treat Dandruff at Home | Hair Care Tips | Home Remedies""","Neem (antifungal, antibacterial, anti-inflammatory) detoxifies the scalp and reduces itching24....Source25 ""Home Treatments for Dandruff | How to Treat Dandruff at Home | Hair Care Tips | Home Remedies""",General,,
 Neem Leaves and Curd Hair Mask◦Ingredients: Water,,,"Wash hair with water boiled with neem leaves25. Add neem leaves with curd and apply that on the scalp25. Allow it to remain for 1520 minutes, then wash hair with warm water25.◦Health Benefits: Neem (antifungal, antibacterial, antiseptic) detoxifies the scalp and reduces itching and irritation25. Curd may provide moisturizing benefits25.","Neem (antifungal, antibacterial, antiseptic) detoxifies the scalp and reduces itching and irritation25. Curd may provide moisturizing benefits25.",General,,
 Methi Fenugreek) Seed,,"Methi (fenugreek) seeds (soaked overnight and ground into a paste), curd, one teaspoon full of triphala churna25.◦Preparation: Soak methi seeds overnight and grind them into a paste25. Add this paste with curd and triphala churna25. Apply this mask to your scalp and leave it for one hour25. Later, wash it with a mild shampoo25.◦Health Benefits: Methi removes white flakes25. Triphala and curd have beneficial properties for the scalp25.","Soak methi seeds overnight and grind them into a paste25. Add this paste with curd and triphala churna25. Apply this mask to your scalp and leave it for one hour25. Later, wash it with a mild shampoo25.◦Health Benefits: Methi removes white flakes25. Triphala and curd have beneficial properties for the scalp25.",Methi removes white flakes25. Triphala and curd have beneficial properties for the scalp25.,General,,
 Coconut Oil with Lemon Juice Hair,,"2 tablespoon full of coconut oil (warmed up), 1 tablespoon full of lemon juice25.◦Preparation: Warm coconut oil and add lemon juice25. Apply this oil to your scalp properly25. Can apply in the evening and leave overnight, or apply two hours before hair wash25. Follow regularly once a week25.◦Health Benefits: Coconut oil's hydrating property reduces dryness and combats itchy scalp25. Lemon juice Vitamin C, citric acid, zinc) fights dandruff due to its antifungal and antioxidant properties25.","Warm coconut oil and add lemon juice25. Apply this oil to your scalp properly25. Can apply in the evening and leave overnight, or apply two hours before hair wash25. Follow regularly once a week25.◦Health Benefits: Coconut oil's hydrating property reduces dryness and combats itchy scalp25. Lemon juice Vitamin C, citric acid, zinc) fights dandruff due to its antifungal and antioxidant properties25.","Coconut oil's hydrating property reduces dryness and combats itchy scalp25. Lemon juice Vitamin C, citric acid, zinc) fights dandruff due to its antifungal and antioxidant properties25.",General,,
 Aloe Vera Gel and,,"About one cup of aloe vera gel, 2 tbsp full of castor oil25.◦Preparation: Apply this to your scalp and leave it overnight or 2 hours before your hair wash25. Repeat once a week25.◦Health Benefits: Soothing effect of aloe vera relieves itchiness of the scalp25. Castor oil may have moisturizing and hair growth-promoting properties25.",Apply this to your scalp and leave it overnight or 2 hours before your hair wash25. Repeat once a week25.◦Health Benefits: Soothing effect of aloe vera relieves itchiness of the scalp25. Castor oil may have moisturizing and hair growth-promoting properties25.,Soothing effect of aloe vera relieves itchiness of the scalp25. Castor oil may have moisturizing and hair growth-promoting properties25.,General,,
 Amla,,"2 tbsp full of amla powder, 2 spoons of ground tulsi leaves, water25.◦Preparation: Mix amla powder and ground tulsi leaves with water to make a hair mask25. Apply it to the scalp and keep it for half an hour25. Wash it out with a mild shampoo25.◦Health Benefits: Amla Vitamin C and antibacterial) helps remove dandruff25. Tulsi has medicinal properties that benefit the scalp25.",Mix amla powder and ground tulsi leaves with water to make a hair mask25. Apply it to the scalp and keep it for half an hour25. Wash it out with a mild shampoo25.◦Health Benefits: Amla Vitamin C and antibacterial) helps remove dandruff25. Tulsi has medicinal properties that benefit the scalp25.,Amla Vitamin C and antibacterial) helps remove dandruff25. Tulsi has medicinal properties that benefit the scalp25.,General,,
 Warm Oil Application,,"Bhringraj oil, neem oil, or fenugreek oil25.◦Preparation: Apply warm oil to the scalp and wash it with shampoo after leaving for a couple of hours25.◦Health Benefits: These oils are traditionally used to cure dandruff25.Source26 ""Home remedies for removing dark circles""","Apply warm oil to the scalp and wash it with shampoo after leaving for a couple of hours25.◦Health Benefits: These oils are traditionally used to cure dandruff25.Source26 ""Home remedies for removing dark circles""","These oils are traditionally used to cure dandruff25.Source26 ""Home remedies for removing dark circles""",General,,
 Cucumber Slices or,,"Cucumber26.◦Preparation: Place cucumber slices around your eyes for 1015 minutes26. Alternatively, apply cucumber juice around the eyes26. Wash with cool water26.◦Health Benefits: Cooling and relaxing, helps remove darkness and puffiness26.","Place cucumber slices around your eyes for 1015 minutes26. Alternatively, apply cucumber juice around the eyes26. Wash with cool water26.◦Health Benefits: Cooling and relaxing, helps remove darkness and puffiness26.","Cooling and relaxing, helps remove darkness and puffiness26.",General,,
 Potato Slices or,,"Potato26.◦Preparation: Place potato slices around your eyes for 1015 minutes26. Alternatively, apply potato juice around the eyes26. Wash with cool water26.◦Health Benefits: Natural bleaching agent, helps lighten dark circles26.","Place potato slices around your eyes for 1015 minutes26. Alternatively, apply potato juice around the eyes26. Wash with cool water26.◦Health Benefits: Natural bleaching agent, helps lighten dark circles26.","Natural bleaching agent, helps lighten dark circles26.",General,,
 Almond Oil Massage◦Ingredients: Almond,,,"Gently massage almond oil around your eyes before going to bed26. Leave it overnight and wash off in the morning26.◦Health Benefits: Rich in Vitamin E, moisturizes and helps reduce dark circles26.","Rich in Vitamin E, moisturizes and helps reduce dark circles26.",General,,
 Cold,,"Cold milk26.◦Preparation: Dip cotton pads in cold milk and place them over your eyes for 10 minutes26. Remove and rinse with water26.◦Health Benefits: Has a soothing effect, rich in Vitamin A, helps brighten skin and make it soft, reducing dark circles26.","Dip cotton pads in cold milk and place them over your eyes for 10 minutes26. Remove and rinse with water26.◦Health Benefits: Has a soothing effect, rich in Vitamin A, helps brighten skin and make it soft, reducing dark circles26.","Has a soothing effect, rich in Vitamin A, helps brighten skin and make it soft, reducing dark circles26.",General,,
